Dates,SPX Index,QQQ US Equity,IWM US Equity,HYG US Equity,LQD US Equity,AGG US Equity,TLT US Equity,IEF US Equity,SHY US Equity,TIP US Equity,GLD US Equity,SLV US Equity,USO US Equity,VNQ US Equity,IYR US Equity
4/11/2007,1438.87,40.7867,70.1368,52.3048,69.9941,73.7823,63.0345,63.8246,70.8215,76.5303,67.08,13.774,50.46,52.4034,57.0471
4/12/2007,1447.8,41.1096,70.6085,52.3399,70.0995,73.8712,63.0489,63.8866,70.8127,76.5303,66.99,13.811,51.65,52.0468,56.7468
4/13/2007,1452.85,41.1926,71.0976,52.2446,69.981,73.7527,62.8541,63.7781,70.7773,76.3394,67.84,13.99,51.52,52.6345,57.3674
4/16/2007,1468.47,41.5709,72.0147,52.2246,70.0402,73.9008,63.2004,63.8478,70.7685,76.5838,68.4,13.98,51.2,52.7006,57.354
4/17/2007,1471.48,41.6631,71.8488,52.1995,70.422,74.1156,63.5539,64.1189,70.8834,76.6296,68,13.838,50.29,53.3874,58.1747
4/18/2007,1472.5,41.5247,71.4295,52.2146,70.4418,74.2267,63.8714,64.2661,70.9806,76.8816,68.38,13.88,50.14,53.0572,57.9678
4/19/2007,1470.73,41.6539,71.0627,52.395,70.4879,74.197,63.7631,64.2584,70.9806,76.8435,67.53,13.559,49.22,52.7006,57.4674
4/20/2007,1484.35,41.8845,71.8924,52.3629,70.4681,74.16,63.5972,64.1886,70.9629,76.874,68.7,13.871,50.05,53.0968,58.0946
4/23/2007,1480.93,41.9491,71.8051,52.395,70.6722,74.2341,63.8281,64.3203,71.016,77.0497,68.26,13.93,51.22,53.6912,58.5884
4/24/2007,1480.41,42.1613,71.875,52.7559,70.85,74.2711,64.0662,64.4443,71.0778,77.1795,67.73,13.71,50.39,53.328,58.188
4/25/2007,1495.42,42.7241,72.0846,52.8361,70.7512,74.3007,63.8425,64.4055,71.0513,77.1872,67.89,13.746,51.32,53.295,58.2681
4/26/2007,1494.25,42.9455,72.6436,52.9313,70.5998,74.16,63.3808,64.2196,70.9983,76.9733,66.87,13.26,50.94,53.328,58.3482
4/27/2007,1494.07,42.9639,72.0409,52.9313,70.58,74.1452,63.3663,64.2196,71.0247,76.9886,67.56,13.489,51.84,53.1959,58.1547
4/30/2007,1482.37,42.4012,70.5212,52.9363,70.9224,74.397,64.0301,64.4985,71.0778,77.401,67.09,13.335,51.24,52.3374,57.0404
5/1/2007,1486.3,42.5395,70.8705,52.943,70.8828,74.3541,64.0764,64.5019,71.0478,77.3887,66.69,13.188,50.36,51.8817,56.7402
5/2/2007,1495.92,42.8255,71.7527,52.9229,70.863,74.3764,64.0402,64.4242,71.0833,77.3823,66.66,13.17,49.59,52.2911,57.2072
5/3/2007,1502.39,42.9824,71.875,52.9279,70.7638,74.2946,63.8954,64.3542,71.03,77.1906,67.49,13.317,49.28,52.4298,57.4341
5/4/2007,1505.62,43.0193,72.3816,52.9932,70.9357,74.3912,64.1561,64.5175,71.0655,77.229,68.19,13.383,48.3,51.9741,57.1472
